dev,iast,roman,count,top_sources,gotra_context
शिवनाथ सीनालालो सोदरपुर,śivnāth sīnālālo sodrpur,sivnath sinalalo sodrpur,2,Vol-3Final03-d(1).doc,
शिवनाथ सुरगन,śivnāth surgn,sivnath surgn,2,Final_348-690.doc,
शिवनाथ सोदरपुर,śivnāth sodrpur,sivnath sodrpur,2,Final_348-690.doc,
शिवनाथा गढ माण्डर,śivnāthā gḍh māṇḍr,sivnatha gdh mandr,2,punji-08-Diwali2014.doc,Kapila
शिवनाथा भडाम जजिवाल,śivnāthā bhḍām jjivāl,sivnatha bhdam jjival,2,punji-03-Diwali2014.doc,
शिवनाथा रजौरा माण्डर,śivnāthā rjaurā māṇḍr,sivnatha rjaura mandr,2,Final_66-347.doc,
शिवनाथा वलियास,śivnāthā vliyās,sivnatha vliyas,2,Final_348-690.doc,
शिवनाथो सरिसव सोदरपुर,śivnātho srisv sodrpur,sivnatho srisv sodrpur,2,Final_66-347.doc,
शिवनाथौ उदनपुर जजिवाल,śivnāthau udnpur jjivāl,sivnathau udnpur jjival,2,punji-05-Diwali2014.doc,
शिवनारायण,śivnārāyṇ,sivnarayn,2,punji-07-Diwali2014.doc,Kapila
शिवनारायण रूचौली एकहरा,śivnārāyṇ rūcaulī ekhrā,sivnarayn rucauli ekhra,2,punji-06-Diwali2014.doc,Śāṇḍilya
शिवनारायण लक्ष्मीनारायणो सोदरपुर,śivnārāyṇ lkṣmīnārāyṇo sodrpur,sivnarayn lksminarayno sodrpur,2,punji-04-Diwali2014.doc,Vatsa
शिवनारायणः खांगुड सरिसव,śivnārāyṇḥ khāṃguḍ srisv,sivnaraynh khamgud srisv,2,punji-03-Diwali2014.doc,
शिवनारायणाः काको बेलउँच,śivnārāyṇāḥ kāko belum̐c,sivnaraynah kako belumc,2,punji-06-Diwali2014.doc,Śāṇḍilya
शिवनारायणाः काको बेलउंच,śivnārāyṇāḥ kāko beluṃc,sivnaraynah kako belumc,2,punji-03-Diwali2014.doc,
शिवनारायणाः पचही सोदरपुर,śivnārāyṇāḥ pchī sodrpur,sivnaraynah pchi sodrpur,2,punji-08-Diwali2014.doc,Kapila
शिवनारायणो आहिल हरिअम,śivnārāyṇo āhil hriam,sivnarayno ahil hriam,2,punji-04-Diwali2014.doc,Vatsa
शिवनारायणौ मलंगिया कटाई,śivnārāyṇau mlṃgiyā kṭāī,sivnaraynau mlmgiya ktai,2,punji-06-Diwali2014.doc,Śāṇḍilya
शिवपति टकबाल,śivpti ṭkbāl,sivpti tkbal,2,Final_1-65.doc,Vatsa
शिवपति दौ बहेराढ़ी,śivpti dau bherāḍh़ī,sivpti dau bheradh i,2,Final_66-347.doc,
शिवपति दौ बहेरादी,śivpti dau bherādī,sivpti dau bheradi,2,Final_348-690.doc,
शिवपति पाली,śivpti pālī,sivpti pali,2,Final_66-347.doc,
शिवपति बेलमोहन नरउन,śivpti belmohn nrun,sivpti belmohn nrun,2,punji-05-Diwali2014.doc,
शिवपति लोआम सुरगन,śivpti loām surgn,sivpti loam surgn,2,punji-04-Diwali2014.doc,
शिवपति हरिअम,śivpti hriam,sivpti hriam,2,Final_66-347.doc,
शिवपाणि वलिया,śivpāṇi vliyā,sivpani vliya,2,Final_66-347.doc,
शिवमुरारि सोदरपुर,śivmurāri sodrpur,sivmurari sodrpur,2,Final_66-347.doc,
शिवराम करमहा,śivrām krmhā,sivram krmha,2,Final_348-690.doc,
शिवराम गंगारामो हरिअम,śivrām gṃgārāmo hriam,sivram gmgaramo hriam,2,Final_66-347.doc,
शिवराम गंगारामौ हरिअम,śivrām gṃgārāmau hriam,sivram gmgaramau hriam,2,Final_348-690.doc,
शिवराम दौ निखूति,śivrām dau nikhūti,sivram dau nikhuti,2,punji-06-Diwali2014.doc,Śāṇḍilya
शिवरामा दरिहरा,śivrāmā drihrā,sivrama drihra,2,Final_66-347.doc,
शिवलाल रूपलाला सोदरपुर,śivlāl rūplālā sodrpur,sivlal ruplala sodrpur,2,Vol-3Final03-e(1).doc,
शिवलाल सोदरपुर,śivlāl sodrpur,sivlal sodrpur,2,Vol-3Final03-b(1).doc,
शिववंश सकराढी,śivvṃś skrāḍhī,sivvms skradhi,2,punji-06-Diwali2014.doc,Śāṇḍilya
शिववती भौर खण्डवला,śivvtī bhaur khṇḍvlā,sivvti bhaur khndvla,2,punji-02-Diwali2014.doc,
शिवशंकर दुखमोचना पाली,śivśṃkr dukhmocnā pālī,sivsmkr dukhmocna pali,2,Vol-3Final03-c(1).doc,
शिवशंकर देवशंकरो पाली,śivśṃkr devśṃkro pālī,sivsmkr devsmkro pali,2,Vol-3Final03-c(1).doc,
शिवशंकर पशुपति सतलखा,śivśṃkr pśupti stlkhā,sivsmkr psupti stlkha,2,punji-08-Diwali2014.doc,
शिवशंकरः बलियास,śivśṃkrḥ bliyās,sivsmkrh bliyas,2,punji-05-Diwali2014.doc,
शिवशंकरौ खांगुड सरिसव,śivśṃkrau khāṃguḍ srisv,sivsmkrau khamgud srisv,2,punji-02-Diwali2014.doc,
शिवशंकरौ गुलदी खण्डवला,śivśṃkrau guldī khṇḍvlā,sivsmkrau guldi khndvla,2,punji-06-Diwali2014.doc,Śāṇḍilya
शिवसुन्दरी कन्हौली सोदरपुर,śivsundrī knhaulī sodrpur,sivsundri knhauli sodrpur,2,punji-07-Diwali2014.doc,Kṛṣṇātreya
शिवा हरीअम,śivā hrīam,siva hriam,2,Final_66-347.doc,
शिवांहरिश्रम,śivāṃhriśrm,sivamhrisrm,2,punji-06-Diwali2014.doc,Śāṇḍilya
शिवाई बुधवाल,śivāī budhvāl,sivai budhval,2,punji-05-Diwali2014.doc,
शिवाई भट्टगोननो लाही,śivāī bhṭṭgonno lāhī,sivai bhttgonno lahi,2,Final_66-347.doc,
शिवाईसुता पकीलिया,śivāīsutā pkīliyā,sivaisuta pkiliya,2,Final_66-347.doc,
शिवादित्य टकबाल,śivādity ṭkbāl,sivadity tkbal,2,Final_1-65.doc,Vatsa
शिवादित्य दौ टकबाल,śivādity dau ṭkbāl,sivadity dau tkbal,2,Final_1-65.doc,Vatsa
शिवादित्यः जलकौर पाली,śivādityḥ jlkaur pālī,sivadityh jlkaur pali,2,punji-04-Diwali2014.doc,Vatsa
शिवानन्द गांगी दिघो,śivānnd gāṃgī digho,sivannd gamgi digho,2,punji-08-Diwali2014.doc,Kapila
शिवानन्द जीवानन्दा सतलखा,śivānnd jīvānndā stlkhā,sivannd jivannda stlkha,2,punji-07-Diwali2014.doc,Kapila
शिवानन्द तरौनी करमहा,śivānnd traunī krmhā,sivannd trauni krmha,2,punji-06-Diwali2014.doc,Kauśika
शिवानन्द दौ पवौली,śivānnd dau pvaulī,sivannd dau pvauli,2,punji-03-Diwali2014.doc,
शिवानन्द दौ महेशरी,śivānnd dau mheśrī,sivannd dau mhesri,2,punji-05-Diwali2014.doc,
शिवानन्द दौ राउढ,śivānnd dau rāuḍh,sivannd dau raudh,2,punji-07-Diwali2014.doc,Kapila
शिवानन्द दौ राओढ,śivānnd dau rāoḍh,sivannd dau raodh,2,punji-05-Diwali2014.doc,
शिवानन्द दौ हरिअम,śivānnd dau hriam,sivannd dau hriam,2,punji-03-Diwali2014.doc,
शिवानन्द बेलउँच,śivānnd belum̐c,sivannd belumc,2,punji-05-Diwali2014.doc,
शिवानन्द मानी सोदरपुर,śivānnd mānī sodrpur,sivannd mani sodrpur,2,punji-04-Diwali2014.doc,
शिवानन्द यदुनाथौ ओइनी,śivānnd ydunāthau oinī,sivannd ydunathau oini,2,punji-06-Diwali2014.doc,Kauśika
शिवानन्द सकराढ़ी,śivānnd skrāḍh़ī,sivannd skradh i,2,Final_348-690.doc,
शिवानन्दः अन्दोली जालय,śivānndḥ andolī jāly,sivanndh andoli jaly,2,punji-06-Diwali2014.doc,Śāṇḍilya
शिवानन्दः खांगुड सरिसव,śivānndḥ khāṃguḍ srisv,sivanndh khamgud srisv,2,punji-05-Diwali2014.doc,
शिवानन्दः परहट सकराढी,śivānndḥ prhṭ skrāḍhī,sivanndh prht skradhi,2,punji-07-Diwali2014.doc,Kapila
शिवानन्दः बरैठानगर दिधो,śivānndḥ braiṭhāngr didho,sivanndh braithangr didho,2,punji-03-Diwali2014.doc,
शिवानन्दः महिषी पाली,śivānndḥ mhiṣī pālī,sivanndh mhisi pali,2,punji-06-Diwali2014.doc,Śāṇḍilya
शिवानन्दः लोआम सुरगन,śivānndḥ loām surgn,sivanndh loam surgn,2,punji-06-Diwali2014.doc,Śāṇḍilya
शिवानन्दा सकुरी गंगोली,śivānndā skurī gṃgolī,sivannda skuri gmgoli,2,punji-06-Diwali2014.doc,Śāṇḍilya
शिवानन्दो देउरी खण्डवला,śivānndo deurī khṇḍvlā,sivanndo deuri khndvla,2,punji-02-Diwali2014.doc,Śāṇḍilya
शिवानन्दो देशुआल खण्डवला,śivānndo deśuāl khṇḍvlā,sivanndo desual khndvla,2,punji-03-Diwali2014.doc,
शिवानन्दौ रतौली दरिहरा,śivānndau rtaulī drihrā,sivanndau rtauli drihra,2,punji-03-Diwali2014.doc,
शिवाय नरसाम,śivāy nrsām,sivay nrsam,2,Vol-3Final03-e(1).doc,
शिवावासी हरिअम,śivāvāsī hriam,sivavasi hriam,2,Final_66-347.doc,
शिविका एकडीहा सोदरपुर,śivikā ekḍīhā sodrpur,sivika ekdiha sodrpur,2,punji-05-Diwali2014.doc,
शिविका सोदरपुर,śivikā sodrpur,sivika sodrpur,2,Final_66-347.doc,
शिवी दौ राओढ,śivī dau rāoḍh,sivi dau raodh,2,punji-06-Diwali2014.doc,
शिवू मदारीकौ तल्हनपुर,śivū mdārīkau tlhnpur,sivu mdarikau tlhnpur,2,punji-05-Diwali2014.doc,
शिवेनाथो बुधवाल,śivenātho budhvāl,sivenatho budhval,2,Final_1-65.doc,Vatsa
शिवेश शीतेशाः दरिहरा,śiveś śīteśāḥ drihrā,sives sitesah drihra,2,punji-06-Diwali2014.doc,Śāṇḍilya
शिवेश सिंहा नरउन,śiveś siṃhā nrun,sives simha nrun,2,Final_348-690.doc,
शिवेश्वर ब्रह्मेश्वरौ दरिहरा,śiveśvr brhmeśvrau drihrā,sivesvr brhmesvrau drihra,2,punji-04-Diwali2014.doc,Vatsa
शिवेश्वर सिंह,śiveśvr siṃh,sivesvr simh,2,Final_348-690.doc,
शिवेश्वरः बलियास,śiveśvrḥ bliyās,sivesvrh bliyas,2,punji-03-Diwali2014.doc,
शिशिर कुमार हरिअम,śiśir kumār hriam,sisir kumar hriam,2,Final_348-690.doc,
शीतमणि रूचौली एकहरा,śītmṇi rūcaulī ekhrā,sitmni rucauli ekhra,2,punji-04-Diwali2014.doc,
शीतल गोविंदा करमहा,śītl goviṃdā krmhā,sitl govimda krmha,2,Vol-3Final03-a(1).doc,
शीतल दरिहरा,śītl drihrā,sitl drihra,2,Vol-3Final03-c(1).doc,
शीतल नेहालो सतलखा,śītl nehālo stlkhā,sitl nehalo stlkha,2,Final_348-690.doc,
शीतल बेचनो सोदपुर,śītl becno sodpur,sitl becno sodpur,2,Final_348-690.doc,
शीतल बेलउँच,śītl belum̐c,sitl belumc,2,Final_348-690.doc,
शीतलदत्त दौ नरउन,śītldtt dau nrun,sitldtt dau nrun,2,Vol-3Final03-e(1).doc,
शीतला दत्तौ खण्डवला,śītlā dttau khṇḍvlā,sitla dttau khndvla,2,punji-02-Diwali2014.doc,
शीतलादत्त पाली,śītlādtt pālī,sitladtt pali,2,Final_348-690.doc,
शीतलादत्तौ ओडा एकहरा,śītlādttau oḍā ekhrā,sitladttau oda ekhra,2,punji-07-Diwali2014.doc,Kapila
शीतली वैगनी अलय,śītlī vaignī aly,sitli vaigni aly,2,punji-02-Diwali2014.doc,
शीत्तू को पाली,śīttū ko pālī,sittu ko pali,2,Vol-3Final03-a(1).doc,
शीरू दौ सोदरपुर,śīrū dau sodrpur,siru dau sodrpur,2,Final_66-347.doc,
शीरू बूधवाल,śīrū būdhvāl,siru budhval,2,Final_66-347.doc,
शीलभद्राः ब्रह्मपुर दरिहरा,śīlbhdrāḥ brhmpur drihrā,silbhdrah brhmpur drihra,2,punji-06-Diwali2014.doc,Kauśika
शीला ब्रह्मपुर माण्डर,śīlā brhmpur māṇḍr,sila brhmpur mandr,2,punji-06-Diwali2014.doc,Kauśika
शीवलात दौ सोदरपुर,śīvlāt dau sodrpur,sivlat dau sodrpur,2,Vol-3Final03-a(1).doc,
शीशे पाली,śīśe pālī,sise pali,2,Final_1-65.doc,Vatsa
शुकदेव खौआल,śukdev khauāl,sukdev khaual,2,Final_348-690.doc,
शुकदेव दौ सतलखा,śukdev dau stlkhā,sukdev dau stlkha,2,punji-06-Diwali2014.doc,Kauśika
शुकदेव वलियास,śukdev vliyās,sukdev vliyas,2,Vol-3Final03-a(1).doc,
शुकदेव वासुदेवौ सुइरी,śukdev vāsudevau suirī,sukdev vasudevau suiri,2,punji-06-Diwali2014.doc,Śāṇḍilya
शुकदेव सत्यदेवाः राउढ,śukdev stydevāḥ rāuḍh,sukdev stydevah raudh,2,punji-05-Diwali2014.doc,
शुकदेवः महिया सोदरपुर,śukdevḥ mhiyā sodrpur,sukdevh mhiya sodrpur,2,punji-05-Diwali2014.doc,
शुकदेवौ उदनपुर जजिवाल,śukdevau udnpur jjivāl,sukdevau udnpur jjival,2,punji-05-Diwali2014.doc,
शुकदेवौ मझौरा करमहा,śukdevau mjhaurā krmhā,sukdevau mjhaura krmha,2,punji-07-Diwali2014.doc,Kapila
शुकदेवौ सकुरी सकराढी,śukdevau skurī skrāḍhī,sukdevau skuri skradhi,2,punji-07-Diwali2014.doc,Taṇḍī
शुकलो वलियास,śuklo vliyās,suklo vliyas,2,Vol-3Final03-a(1).doc,
शुक्लाः उसरौली अलय,śuklāḥ usraulī aly,suklah usrauli aly,2,punji-05-Diwali2014.doc,
शुचि घोसेत,śuci ghoset,suci ghoset,2,Final_66-347.doc,
शुचि रूचि कटाई,śuci rūci kṭāī,suci ruci ktai,2,Final_348-690.doc,
शुचिकर अलय,śucikr aly,sucikr aly,2,Final_1-65.doc,Vatsa
शुचिकर जजिवाल,śucikr jjivāl,sucikr jjival,2,Final_1-65.doc,Vatsa
शुचिकर दौ पबौली,śucikr dau pbaulī,sucikr dau pbauli,2,Final_66-347.doc,
शुचिकर दौ बुधवाल,śucikr dau budhvāl,sucikr dau budhval,2,Final_1-65.doc,Vatsa
शुचिकर दौ वभनियाम,śucikr dau vbhniyām,sucikr dau vbhniyam,2,Final_66-347.doc,
शुचिकरौ करमहा,śucikrau krmhā,sucikrau krmha,2,Final_1-65.doc,Vatsa
शुचिपति दौ खौआल,śucipti dau khauāl,sucipti dau khaual,2,Final_348-690.doc,
शुचिपति रवौआल,śucipti rvauāl,sucipti rvaual,2,Final_1-65.doc,Vatsa
शुचिपति सतलखा,śucipti stlkhā,sucipti stlkha,2,Final_1-65.doc,Vatsa
शुचियः पवौली,śuciyḥ pvaulī,suciyh pvauli,2,punji-03-Diwali2014.doc,
शुभ,śubh,subh,2,Final_348-690.doc,
शुभंकर,śubhṃkr,subhmkr,2,Final_66-347.doc,
शुभंकर एकहरा,śubhṃkr ekhrā,subhmkr ekhra,2,Final_348-690.doc,
शुभंकर दरिहरा,śubhṃkr drihrā,subhmkr drihra,2,Final_1-65.doc,Vatsa
शुभंकर दशरथा बुधवाल,śubhṃkr dśrthā budhvāl,subhmkr dsrtha budhval,2,Final_1-65.doc,Vatsa
शुभंकर दौ करमहा,śubhṃkr dau krmhā,subhmkr dau krmha,2,Vol-3Final03-a(1).doc,
शुभंकर दौ घुसौत,śubhṃkr dau ghusaut,subhmkr dau ghusaut,2,Final_348-690.doc,
शुभंकर दौ पण्डुआ,śubhṃkr dau pṇḍuā,subhmkr dau pndua,2,Final_1-65.doc,Vatsa
शुभंकर दौ बुधवाल,śubhṃkr dau budhvāl,subhmkr dau budhval,2,Vol-3Final03-a(1).doc,
शुभंकर दौ बेलउँच,śubhṃkr dau belum̐c,subhmkr dau belumc,2,punji-04-Diwali2014.doc,Vatsa
शुभंकर दौ विस्फी,śubhṃkr dau visphī,subhmkr dau visphi,2,Final_1-65.doc,Vatsa
शुभंकर रघुनाथाः सोदरपुर,śubhṃkr rghunāthāḥ sodrpur,subhmkr rghunathah sodrpur,2,punji-02-Diwali2014.doc,
शुभंकर रामभद्रो सोदरपुर,śubhṃkr rāmbhdro sodrpur,subhmkr rambhdro sodrpur,2,Final_66-347.doc,
शुभंकर वुद्दिकरा सरिसब,śubhṃkr vuddikrā srisb,subhmkr vuddikra srisb,2,Final_66-347.doc,
शुभंकर वुधवाल,śubhṃkr vudhvāl,subhmkr vudhval,2,Vol-3Final03-d(1).doc,
शुभंकर सकराढ़ी,śubhṃkr skrāḍh़ī,subhmkr skradh i,2,Final_66-347.doc,
शुभंकर सोदरपुर,śubhṃkr sodrpur,subhmkr sodrpur,2,punji-03-Diwali2014.doc,
शुभंकर हरिअम,śubhṃkr hriam,subhmkr hriam,2,Final_348-690.doc,
शुभंकर हरिकराः दरिहरा,śubhṃkr hrikrāḥ drihrā,subhmkr hrikrah drihra,2,punji-03-Diwali2014.doc,
शुभंकरः दूवा सकराढी,śubhṃkrḥ dūvā skrāḍhī,subhmkrh duva skradhi,2,punji-05-Diwali2014.doc,
शुभंकरः बुधवाल,śubhṃkrḥ budhvāl,subhmkrh budhval,2,punji-03-Diwali2014.doc,
शुभंकरः महिषी पाली,śubhṃkrḥ mhiṣī pālī,subhmkrh mhisi pali,2,punji-07-Diwali2014.doc,Kapila
शुभंकरो वारी पाली,śubhṃkro vārī pālī,subhmkro vari pali,2,punji-04-Diwali2014.doc,
शुभदत्तः करमहा,śubhdttḥ krmhā,subhdtth krmha,2,punji-06-Diwali2014.doc,
शुभपति छोकेकौ सतलखा,śubhpti chokekau stlkhā,subhpti chokekau stlkha,2,punji-04-Diwali2014.doc,Vatsa
शुभपति दौ खौआल,śubhpti dau khauāl,subhpti dau khaual,2,Final_348-690.doc,
शुभपति दौ पबौली,śubhpti dau pbaulī,subhpti dau pbauli,2,Final_66-347.doc,
शुभपति दौ वलियास,śubhpti dau vliyās,subhpti dau vliyas,2,Vol-3Final03-a(1).doc,
शुभपति पाली,śubhpti pālī,subhpti pali,2,Vol-3Final03-a(1).doc,
शुभपति सकराढ़ी,śubhpti skrāḍh़ī,subhpti skradh i,2,Final_348-690.doc,
शुभपति सोदरपुर,śubhpti sodrpur,subhpti sodrpur,2,Final_66-347.doc,
शुभपतियः पुनाछ बहेराढी,śubhptiyḥ punāch bherāḍhī,subhptiyh punach bheradhi,2,punji-05-Diwali2014.doc,
शुभम आदमपुरवासी निखूति,śubhm ādmpurvāsī nikhūti,subhm admpurvasi nikhuti,2,punji-03-Diwali2014.doc,
शुभम बनैलीवासी तिलय,śubhm bnailīvāsī tily,subhm bnailivasi tily,2,punji-04-Diwali2014.doc,Vatsa
शुभाई उँमाईकौ बुधवाल,śubhāī um̐māīkau budhvāl,subhai ummaikau budhval,2,Final_66-347.doc,
शुभाई खण्डबला,śubhāī khṇḍblā,subhai khndbla,2,Final_66-347.doc,
शुभाई माण्डर,śubhāī māṇḍr,subhai mandr,2,Final_348-690.doc,
शुभे दौ खौआल,śubhe dau khauāl,subhe dau khaual,2,Final_348-690.doc,
शुभे दौ जालय,śubhe dau jāly,subhe dau jaly,2,Final_348-690.doc,
शुभे नारूकाः थरिया,śubhe nārūkāḥ thriyā,subhe narukah thriya,2,punji-02-Diwali2014.doc,
शुभे पराना फनन्दह,śubhe prānā phnndh,subhe prana phnndh,2,Final_66-347.doc,
शुभे पाली,śubhe pālī,subhe pali,2,Vol-3Final03-c(1).doc,
शुभौ वारी माण्डर,śubhau vārī māṇḍr,subhau vari mandr,2,Final_348-690.doc,
शूज दौ पाली,śūj dau pālī,suj dau pali,2,Final_66-347.doc,
शूलपाणयः पद्मपुर पनिचोभ,śūlpāṇyḥ pdmpur pnicobh,sulpanyh pdmpur pnicobh,2,punji-05-Diwali2014.doc,
शूलपाणि करमहा,śūlpāṇi krmhā,sulpani krmha,2,Final_348-690.doc,
शूलपाणि गंगारामाः करमहा,śūlpāṇi gṃgārāmāḥ krmhā,sulpani gmgaramah krmha,2,punji-05-Diwali2014.doc,
शूलपाणि गढ बेलउँच,śūlpāṇi gḍh belum̐c,sulpani gdh belumc,2,punji-06-Diwali2014.doc,
शूलपाणि चक्रपाणि करमहा,śūlpāṇi ckrpāṇi krmhā,sulpani ckrpani krmha,2,punji-08-Diwali2014.doc,
शूलपाणि दौ घुसोत,śūlpāṇi dau ghusot,sulpani dau ghusot,2,Final_348-690.doc,
शूलपाणि दौ बुधवाल,śūlpāṇi dau budhvāl,sulpani dau budhval,2,punji-03-Diwali2014.doc,
शूलपाणि दौ हरियम,śūlpāṇi dau hriym,sulpani dau hriym,2,Final_66-347.doc,
शूलपाणि नरउन,śūlpāṇi nrun,sulpani nrun,2,Final_348-690.doc,Gautama
शूलपाणि बलियास,śūlpāṇi bliyās,sulpani bliyas,2,Vol-3Final03-e(1).doc,
शूलपाणि बुधवाल,śūlpāṇi budhvāl,sulpani budhval,2,Final_348-690.doc,
शूलपाणि रविपाणि दिधोय,śūlpāṇi rvipāṇi didhoy,sulpani rvipani didhoy,2,Final_66-347.doc,
शूलपाणि शंकरदाशौ सोन्दहपुर,śūlpāṇi śṃkrdāśau sondhpur,sulpani smkrdasau sondhpur,2,punji-08-Diwali2014.doc,Kapila
शूलपाणि शिवौ सोदरपुर,śūlpāṇi śivau sodrpur,sulpani sivau sodrpur,2,Final_348-690.doc,
शूलपाणिः वीरपुर पनिचोभ,śūlpāṇiḥ vīrpur pnicobh,sulpanih virpur pnicobh,2,punji-03-Diwali2014.doc,
शूलपाणिका भौर खण्डबला,śūlpāṇikā bhaur khṇḍblā,sulpanika bhaur khndbla,2,Final_66-347.doc,
शूलपाणियः गढ माण्डर,śūlpāṇiyḥ gḍh māṇḍr,sulpaniyh gdh mandr,2,punji-04-Diwali2014.doc,Vatsa
शेखरः भौर खण्डवला,śekhrḥ bhaur khṇḍvlā,sekhrh bhaur khndvla,2,punji-04-Diwali2014.doc,
शेषनाथा नाहस खौआल,śeṣnāthā nāhs khauāl,sesnatha nahs khaual,2,Final_348-690.doc,
शेषांश,śeṣāṃś,sesams,2,punji-04-Diwali2014.doc,
शैलेन्द्राः मदनपुर कटाई,śailendrāḥ mdnpur kṭāī,sailendrah mdnpur ktai,2,punji-02-Diwali2014.doc,
शैलेन्द्रो मंगरौनी पाली,śailendro mṃgraunī pālī,sailendro mmgrauni pali,2,punji-03-Diwali2014.doc,
शैलेश जीतेन्द्राः तिलय,śaileś jītendrāḥ tily,sailes jitendrah tily,2,punji-04-Diwali2014.doc,
शैलेशदत्ता उफरौलवासी दरिहरा,śaileśdttā uphraulvāsī drihrā,sailesdtta uphraulvasi drihra,2,punji-04-Diwali2014.doc,Vatsa
शोभन देवनौ बुधवाल,śobhn devnau budhvāl,sobhn devnau budhval,2,Final_348-690.doc,
शोभन माण्डर,śobhn māṇḍr,sobhn mandr,2,Final_348-690.doc,
शोभन मोहनो सरिसब,śobhn mohno srisb,sobhn mohno srisb,2,Vol-3Final03-d(1).doc,
शोभनाथ उँमानाथौ माण्डर,śobhnāth um̐mānāthau māṇḍr,sobhnath ummanathau mandr,2,Final_348-690.doc,
शोभनाथ करमहा,śobhnāth krmhā,sobhnath krmha,2,Final_348-690.doc,
शोभनाथ काशीनाथो हरिअम,śobhnāth kāśīnātho hriam,sobhnath kasinatho hriam,2,Vol-3Final03-d(1).doc,
शोभनाथ दौ जजिवाल,śobhnāth dau jjivāl,sobhnath dau jjival,2,Vol-3Final03-d(1).doc,
शोभनाथ दौ पबौली,śobhnāth dau pbaulī,sobhnath dau pbauli,2,Final_66-347.doc,
शोभनाथ महिनाथो एकहरा,śobhnāth mhinātho ekhrā,sobhnath mhinatho ekhra,2,Final_348-690.doc,
शोभनाथ माण्डर,śobhnāth māṇḍr,sobhnath mandr,2,Final_348-690.doc,
शोभनाथ वुधवाल,śobhnāth vudhvāl,sobhnath vudhval,2,Final_348-690.doc,
शोभनाथ श्रीनाथो सकराढ़ी,śobhnāth śrīnātho skrāḍh़ī,sobhnath srinatho skradh i,2,Vol-3Final03-a(1).doc,
शोभनाथः अलय,śobhnāthḥ aly,sobhnathh aly,2,punji-07-Diwali2014.doc,Kapila
शोभनाथौ डीह सकौना,śobhnāthau ḍīh skaunā,sobhnathau dih skauna,2,punji-04-Diwali2014.doc,Vatsa
शोभा दिघडीवासी ब्रह्मपुरा,śobhā dighḍīvāsī brhmpurā,sobha dighdivasi brhmpura,2,punji-04-Diwali2014.doc,
शोभा नगवाड घोसोत,śobhā ngvāḍ ghosot,sobha ngvad ghosot,2,punji-02-Diwali2014.doc,
शोभाकर दरिहरा,śobhākr drihrā,sobhakr drihra,2,Final_348-690.doc,
शोभाकर दौ सरिसव,śobhākr dau srisv,sobhakr dau srisv,2,punji-03-Diwali2014.doc,
शोभाकर शिवकरो खण्डबला,śobhākr śivkro khṇḍblā,sobhakr sivkro khndbla,2,Final_348-690.doc,
शोभाकान्त खांगुड सरिसव,śobhākānt khāṃguḍ srisv,sobhakant khamgud srisv,2,punji-05-Diwali2014.doc,
शोभाकान्त तरौनी करमहा,śobhākānt traunī krmhā,sobhakant trauni krmha,2,punji-04-Diwali2014.doc,
शोभाकान्त बुधवाल,śobhākānt budhvāl,sobhakant budhval,2,punji-08-Diwali2014.doc,Kapila
शोभाकान्त हरिअम,śobhākānt hriam,sobhakant hriam,2,Final_348-690.doc,
शोभाकान्तः खोरि सोदरपुर,śobhākāntḥ khori sodrpur,sobhakanth khori sodrpur,2,punji-08-Diwali2014.doc,Kapila
शोभाकान्तः महुवा खौआल,śobhākāntḥ mhuvā khauāl,sobhakanth mhuva khaual,2,punji-03-Diwali2014.doc,
शोभाकान्ता महिषी पाली,śobhākāntā mhiṣī pālī,sobhakanta mhisi pali,2,punji-07-Diwali2014.doc,Vatsa
शोभाकौ काको बेलउंच,śobhākau kāko beluṃc,sobhakau kako belumc,2,punji-03-Diwali2014.doc,
शोभाज्ञानोंकें वभनियाम,śobhājñānoṃkeṃ vbhniyām,sobhajnanomkem vbhniyam,2,Final_1-65.doc,Vatsa
शोभानन्द परमानन्दः बेलउँच,śobhānnd prmānndḥ belum̐c,sobhannd prmanndh belumc,2,punji-03-Diwali2014.doc,
शोभानन्द माण्डर,śobhānnd māṇḍr,sobhannd mandr,2,punji-06-Diwali2014.doc,Śāṇḍilya
शोभानाथ तेजनाथा खौआल,śobhānāth tejnāthā khauāl,sobhanath tejnatha khaual,2,Vol-3Final03-e(1).doc,
शोभानाथ सिंहौली माण्डर,śobhānāth siṃhaulī māṇḍr,sobhanath simhauli mandr,2,punji-05-Diwali2014.doc,
शोभानाथो सकराढ़ी,śobhānātho skrāḍh़ī,sobhanatho skradh i,2,Vol-3Final03-d(1).doc,
शोभाराम दौ दिघो,śobhārām dau digho,sobharam dau digho,2,punji-08-Diwali2014.doc,Kapila
शोभावती लोहना सकराढी,śobhāvtī lohnā skrāḍhī,sobhavti lohna skradhi,2,punji-04-Diwali2014.doc,Vatsa
शोभितनाथा रतौली दरिहरा,śobhitnāthā rtaulī drihrā,sobhitnatha rtauli drihra,2,punji-05-Diwali2014.doc,
शोभितलाला संग्राम एकहरा,śobhitlālā sṃgrām ekhrā,sobhitlala smgram ekhra,2,punji-08-Diwali2014.doc,Kapila
शोमनाथ कन्हौली सोदरपुर,śomnāth knhaulī sodrpur,somnath knhauli sodrpur,2,punji-08-Diwali2014.doc,
शोमनाथा नरउन,śomnāthā nrun,somnatha nrun,2,punji-02-Diwali2014.doc,
